x,y,z,Bx,By,Bz
18949.000000,-15053.000000,0.000000,0.859951,-4.913863,-10.281572
-9051.000000,10947.000000,0.000000,18.653544,-39.457953,3.364055
-16051.000000,18947.000000,0.000000,2.443349,-7.759033,-1.221278
-19051.000000,-12053.000000,0.000000,8.369208,10.039000,0.581441
1949.000000,14947.000000,0.000000,-17.265279,-15.459974,-12.482289
-9051.000000,9947.000000,0.000000,23.692662,-42.954600,3.510775
19949.000000,8947.000000,0.000000,5.367438,5.050235,-9.816233
10949.000000,16947.000000,0.000000,-4.599864,2.207765,-9.281632
18949.000000,6947.000000,0.000000,3.535599,5.333858,-16.706839
-8051.000000,5947.000000,0.000000,67.376671,-73.756538,38.070009
11949.000000,-14053.000000,0.000000,-6.383955,-5.661135,-13.814547
949.000000,5947.000000,0.000000,-80.940984,-152.497579,116.481159
-10051.000000,7947.000000,0.000000,34.700648,-47.378119,7.847796
-8051.000000,-19053.000000,0.000000,-5.552231,9.809711,-8.213191
-9051.000000,-7053.000000,0.000000,63.307339,108.602781,39.508232
-15051.000000,-13053.000000,0.000000,5.673355,15.251036,-1.387299
-19051.000000,8947.000000,0.000000,12.988044,-7.657966,-9.977611
-12051.000000,-16053.000000,0.000000,1.736112,15.332244,-4.885809
-7051.000000,13947.000000,0.000000,1.613424,-28.962692,-5.255563
-10051.000000,8947.000000,0.000000,28.306666,-40.999384,-0.295737
-4051.000000,947.000000,0.000000,-71.843429,-2.003477,180.322839
15949.000000,-2053.000000,0.000000,13.146667,-2.384042,-33.073956
-6051.000000,-5053.000000,0.000000,-57.447988,198.092459,311.548210
-1051.000000,2947.000000,0.000000,-21.016546,-23.173576,227.885739
7949.000000,-3053.000000,0.000000,-207.391205,22.188345,-91.238346
14949.000000,11947.000000,0.000000,-0.233536,7.190841,-15.783847
10949.000000,-19053.000000,0.000000,0.454434,-3.606832,-6.161158
-9051.000000,-18053.000000,0.000000,-1.593466,10.694205,-5.905221
19949.000000,-11053.000000,0.000000,2.630401,-7.378858,-6.653265
949.000000,-20053.000000,0.000000,-5.206045,4.441577,-8.022477
-3051.000000,-17053.000000,0.000000,-8.231213,14.036912,-5.611384
-2051.000000,-2053.000000,0.000000,-2.893853,118.368312,29.762413
-15051.000000,18947.000000,0.000000,3.486708,-6.799654,-3.964637
-2051.000000,18947.000000,0.000000,-6.775832,-9.587567,-8.094386
14949.000000,-14053.000000,0.000000,1.243919,-8.596962,-10.709988
-13051.000000,-9053.000000,0.000000,26.757244,31.022698,0.757342
17949.000000,-8053.000000,0.000000,5.574491,-5.161293,-16.468239
5949.000000,15947.000000,0.000000,-13.655530,-2.303546,-9.766417
16949.000000,-19053.000000,0.000000,-1.736597,-4.451845,-8.853581
-15051.000000,13947.000000,0.000000,7.172228,-12.581026,-2.358631
8949.000000,947.000000,0.000000,-125.173900,1.186009,-130.031345
7949.000000,3947.000000,0.000000,-126.519686,-23.824546,-81.502474
-20051.000000,2947.000000,0.000000,16.313094,-2.855524,-2.520402
-13051.000000,-7053.000000,0.000000,39.016790,33.816528,7.438776
-12051.000000,-9053.000000,0.000000,24.477675,37.741707,2.131987
-12051.000000,18947.000000,0.000000,1.915069,-9.093727,-3.430634
-11051.000000,-8053.000000,0.000000,42.389225,54.928608,6.781342
7949.000000,-19053.000000,0.000000,-3.100382,-1.555190,-7.067285
-18051.000000,-3053.000000,0.000000,25.489341,5.372130,-2.474940
9949.000000,14947.000000,0.000000,-7.182702,3.681903,-15.359510
-9051.000000,-9053.000000,0.000000,22.097527,71.213721,8.097490
-19051.000000,3947.000000,0.000000,19.194719,-7.978518,-2.153842
15949.000000,12947.000000,0.000000,1.027225,8.508605,-12.621531
-4051.000000,-2053.000000,0.000000,-208.222283,79.415992,122.745190
19949.000000,-2053.000000,0.000000,8.236964,1.028264,-16.721525
3949.000000,-3053.000000,0.000000,-14.158188,122.805549,322.261878
17949.000000,-19053.000000,0.000000,1.674154,-3.376021,-2.880664
-10051.000000,-10053.000000,0.000000,14.476419,48.193669,0.089154
-10051.000000,1947.000000,0.000000,115.221508,-53.969746,44.185830
10949.000000,11947.000000,0.000000,-6.874410,6.446362,-21.343424
18949.000000,-12053.000000,0.000000,-0.087858,-6.556275,-5.965214
7949.000000,19947.000000,0.000000,-9.011116,2.499052,-3.700259
7949.000000,1947.000000,0.000000,-197.327440,-21.506915,-91.828600
-20051.000000,8947.000000,0.000000,12.290396,-5.265590,-0.858324
11949.000000,1947.000000,0.000000,-3.570306,10.376217,-72.238313
4949.000000,7947.000000,0.000000,-75.114396,-49.067272,-36.551756
-11051.000000,-15053.000000,0.000000,-0.032812,18.222357,-5.748398
-6051.000000,3947.000000,0.000000,88.888787,-94.916926,121.423388
16949.000000,19947.000000,0.000000,-1.977833,4.604481,-9.460599
-20051.000000,9947.000000,0.000000,11.039230,-7.029784,0.476095
-7051.000000,-1053.000000,0.000000,148.281409,-22.622818,390.834203
-7051.000000,-18053.000000,0.000000,-3.685217,13.129552,-6.569327
18949.000000,11947.000000,0.000000,1.368051,7.485907,-10.469514
-6051.000000,6947.000000,0.000000,57.984506,-101.673128,50.576001
17949.000000,19947.000000,0.000000,-1.074270,2.790286,-2.826316
2949.000000,-20053.000000,0.000000,-8.267522,1.014720,-9.059706
-10051.000000,-19053.000000,0.000000,-4.847223,8.210240,-4.662562
-8051.000000,-6053.000000,0.000000,101.299700,162.895267,120.619512
1949.000000,947.000000,0.000000,15.188222,10.959414,196.933088
-10051.000000,-16053.000000,0.000000,4.060090,14.664664,-4.189469
1949.000000,13947.000000,0.000000,-20.057414,-17.403719,-14.839452
-16051.000000,3947.000000,0.000000,29.777531,-11.179533,2.554832
11949.000000,12947.000000,0.000000,-7.852440,6.246278,-18.348882
-17051.000000,18947.000000,0.000000,2.857398,-6.679321,2.277671
-14051.000000,4947.000000,0.000000,37.384656,-19.283973,1.592019
-3051.000000,6947.000000,0.000000,12.148623,-147.932892,103.029840
4949.000000,12947.000000,0.000000,-24.293510,-11.127511,-20.727672
-13051.000000,-18053.000000,0.000000,5.015494,9.361436,-0.818998
-6051.000000,18947.000000,0.000000,-1.373781,-10.962565,-2.214831
8949.000000,-3053.000000,0.000000,-113.430631,1.578330,-122.384182
-51.000000,18947.000000,0.000000,-10.056942,-9.762721,-6.246382
-20051.000000,11947.000000,0.000000,7.519994,-4.105650,-3.251469
