x,y,z,Bx,By,Bz
-20051,-20053,-500,0.547917936823996,2.19099108636795,0.58197616112608
-20051,-19553,-500,3.26767135763923,4.46906981099368,-1.64032800790227
-20051,-19053,-500,1.43112019493221,8.1446609073066,-0.404637909848347
-20051,-18553,-500,-0.730887017371712,4.21040251618386,-2.12365521519937
-20051,-18053,-500,0.778793841443529,7.25506990325789,-1.46297135992592
-20051,-17553,-500,0.714183664394379,7.75836076823081,-0.0985720346365281
-20051,-17053,-500,0.2364499699882,5.18316621622943,-1.47669130339706
-20051,-16553,-500,4.97022932132757,6.88033492457206,-3.46992371632991
-20051,-16053,-500,2.66747645612799,8.7870378621951,-3.78727008164281
-20051,-15553,-500,7.77510405240302,5.97629935245414,-5.18768766291022
-20051,-15053,-500,2.45809849593904,5.76138148189028,-2.12432278423656
-20051,-14553,-500,5.05032562286789,6.50422830892534,-1.19811843882241
-20051,-14053,-500,6.80404847764466,9.47809789969621,-4.92328599427794
-20051,-13553,-500,6.31617429353474,7.98148406243991,-0.549264964850502
-20051,-13053,-500,7.00346496718623,5.80274175444518,3.73491983878081
-20051,-12553,-500,8.27022468692985,6.15230375330378,-2.1030980638802
-20051,-12053,-500,6.88689786049694,10.7096464787705,-3.651018931891
-20051,-11553,-500,8.04686615834788,4.87958407670586,3.35495057852218
-20051,-11053,-500,10.6906607063967,9.55218236206661,-0.35136607308837
-20051,-10553,-500,7.95065442714184,5.19664890698673,-4.48514070121308
-20051,-10053,-500,8.17441888933732,8.80678634262397,-2.48363697409529
-20051,-9553,-500,8.15763687670347,9.00763710137845,-0.220269998379925
-20051,-9053,-500,12.1406107023833,7.59446318564439,-0.701684272762543
-20051,-8553,-500,11.6338470652963,7.09640197220973,-1.0002200024337
-20051,-8053,-500,9.7308205293298,7.71132717550179,-0.716982570693077
-20051,-7553,-500,13.0919972532265,6.61841916474049,0.232757081387734
-20051,-7053,-500,14.5530818767303,7.09241417854077,-1.59504138008782
-20051,-6553,-500,13.1417523281649,7.9489461580826,0.663185189894962
-20051,-6053,-500,13.6844529648291,5.10996136193534,0.214621011980293
-20051,-5553,-500,16.6017038512175,5.68903087287197,1.02271611004784
-20051,-5053,-500,17.8645707342952,7.06886522607646,-2.49823242486594
-20051,-4553,-500,17.7940904889125,5.94723558107691,-1.5709987756724
-20051,-4053,-500,18.5008399414503,4.60686881193885,1.07193988939984
-20051,-3553,-500,17.2065790177732,5.06603780473758,-2.53789674399571
-20051,-3053,-500,17.1152719852255,5.18208854730222,-1.65251055956684
-20051,-2553,-500,18.3278928613888,3.60535392589059,-0.575838247388644
-20051,-2053,-500,20.0708603822046,1.26178052404492,-1.20329997195787
-20051,-1553,-500,18.7963984757857,3.67317815449483,0.819174323528794
-20051,-1053,-500,20.7901089690195,1.78599625812375,-2.74576278122245
-20051,-553,-500,21.9977973378895,-1.3421967686828,-3.36301116429342
-20051,-53,-500,17.2526251404244,0.381898045357532,-1.1593908693541
-20051,447,-500,14.7423919485656,-0.022179645168405,-0.231821145812553
-20051,947,-500,18.1501967033573,-1.86043311161643,0.119193282987617
-20051,1447,-500,17.9860961274626,-3.45833707112109,-0.0103497425955539
-20051,1947,-500,16.4687740704619,-2.11381988206831,-0.074544631755207
-20051,2447,-500,18.5333131219205,-2.38290212788313,-1.41708039763569
-20051,2947,-500,16.1181616637784,-6.28724592918566,1.12700287128558
-20051,3447,-500,15.8042370243846,-3.98820543511362,-2.42912313920153
-20051,3947,-500,15.2171395123447,-4.03465390587488,-1.26017807263878
-20051,4447,-500,18.0463612679538,-4.65764772461909,0.853913725109005
-20051,4947,-500,16.4283220184591,-5.02808882066631,-1.47092345839356
-20051,5447,-500,18.1767066414864,-5.37124463099412,-0.721628790703904
-20051,5947,-500,16.4851561339882,-6.97692720265352,-1.66220831232335
-20051,6447,-500,14.0957045872484,-7.31704585728506,-0.759132251127694
-20051,6947,-500,12.608976845745,-6.40990286075876,-2.28225188755087
-20051,7447,-500,11.5257362506399,-9.82627067808129,2.28647976956909
-20051,7947,-500,11.6583268545453,-6.58315683279782,-2.26991798648449
-20051,8447,-500,13.1255650544295,-5.97760631359866,-0.57554270267179
-20051,8947,-500,8.49374071207711,-8.71716511585994,0.906807124339419
-20051,9447,-500,8.52425276820996,-6.79883795166219,-0.202092633013628
-20051,9947,-500,10.1967384517105,-7.06578029099729,-0.913868586297757
-20051,10447,-500,10.1467296064217,-7.94163998786708,-0.963723115867249
-20051,10947,-500,9.49225978280809,-7.53583699280651,-1.24156994003845
-20051,11447,-500,7.94522023962591,-5.11908702942676,0.947080962431758
-20051,11947,-500,10.0650716984311,-7.55271250747475,-3.15469379985404
-20051,12447,-500,7.69228132883968,-6.45173440653398,0.297881592031114
-20051,12947,-500,5.78712735812469,-9.77300066880651,-0.654712109963883
