x,y,z,Bx,By,Bz
-20051.0,-20053.0,0.0,1.7508814,4.745706,-1.8504746
-20051.0,-19553.0,0.0,1.9279163,4.9482217,-1.8628755
-20051.0,-19053.0,0.0,2.1246016,5.1556625,-1.85784
-20051.0,-18553.0,0.0,2.3464584,5.3609166,-1.8438325
-20051.0,-18053.0,0.0,2.5965347,5.5611744,-1.8309457
-20051.0,-17553.0,0.0,2.8745542,5.75834,-1.8286655
-20051.0,-17053.0,0.0,3.1777341,5.9574656,-1.8432031
-20051.0,-16553.0,0.0,3.5027788,6.1633825,-1.875486
-20051.0,-16053.0,0.0,3.8480256,6.377471,-1.9205178
-20051.0,-15553.0,0.0,4.2150707,6.5959983,-1.9692101
-20051.0,-15053.0,0.0,4.6079273,6.8114614,-2.0113378
-20051.0,-14553.0,0.0,5.0310025,7.016147,-2.0393858
-20051.0,-14053.0,0.0,5.4864492,7.20587,-2.050804
-20051.0,-13553.0,0.0,5.972649,7.381254,-2.0481977
-20051.0,-13053.0,0.0,6.485396,7.546126,-2.0371938
-20051.0,-12553.0,0.0,7.019681,7.703538,-2.0232801
-20051.0,-12053.0,0.0,7.572153,7.852315,-2.0093224
-20051.0,-11553.0,0.0,8.141851,7.986273,-1.9950553
-20051.0,-11053.0,0.0,8.729384,8.09582,-1.9783589
-20051.0,-10553.0,0.0,9.335378,8.171424,-1.9573393
-20051.0,-10053.0,0.0,9.959196,8.20612,-1.9316267
-20051.0,-9553.0,0.0,10.598361,8.196298,-1.9025459
-20051.0,-9053.0,0.0,11.249167,8.141057,-1.8722616
-20051.0,-8553.0,0.0,11.907439,8.04026,-1.8427447
-20051.0,-8053.0,0.0,12.569354,7.8935976,-1.814553
-20051.0,-7553.0,0.0,13.231198,7.6997504,-1.7871784
-20051.0,-7053.0,0.0,13.889425,7.4568186,-1.7589866
-20051.0,-6553.0,0.0,14.54,7.1631627,-1.7281446
-20051.0,-6053.0,0.0,15.17789,6.818054,-1.6931286
-20051.0,-5553.0,0.0,15.796982,6.4223313,-1.6530163
-20051.0,-5053.0,0.0,16.390127,5.978673,-1.6075153
-20051.0,-4553.0,0.0,16.949207,5.491065,-1.5573709
-20051.0,-4053.0,0.0,17.465809,4.9646254,-1.5037922
-20051.0,-3553.0,0.0,17.931677,4.4048376,-1.4486564
-20051.0,-3053.0,0.0,18.339157,3.8169296,-1.3943049
-20051.0,-2553.0,0.0,18.681618,3.205523,-1.3435088
-20051.0,-2053.0,0.0,18.953836,2.574615,-1.2990072
-20051.0,-1553.0,0.0,19.152138,1.9277121,-1.2634389
-20051.0,-1053.0,0.0,19.274704,1.2684634,-1.2390679
-20051.0,-553.0,0.0,19.321198,0.60112596,-1.2272137
-20051.0,-53.0,0.0,19.293238,-0.06857454,-1.2279592
-20051.0,447.0,0.0,19.193712,-0.73374206,-1.2403102
-20051.0,947.0,0.0,19.026657,-1.3862658,-1.2619703
-20051.0,1447.0,0.0,18.796812,-2.0178914,-1.2896873
-20051.0,1947.0,0.0,18.509295,-2.6211596,-1.3198335
-20051.0,2447.0,0.0,18.169092,-3.1904001,-1.3487486
-20051.0,2947.0,0.0,17.780972,-3.722151,-1.3733515
-20051.0,3447.0,0.0,17.34953,-4.215203,-1.3918313
