x,y,z,Bx,By,Bz
-20051.0,-20053.0,0.0,0.3867876,3.7474687,0.40203866
-20051.0,-19553.0,0.0,0.7240561,4.271019,-0.6168679
-20051.0,-19053.0,0.0,1.1210369,4.677497,-1.5804355
-20051.0,-18553.0,0.0,1.5597565,4.9933357,-2.5183988
-20051.0,-18053.0,0.0,2.0024188,5.2756906,-3.4301226
-20051.0,-17553.0,0.0,2.4017186,5.5915565,-4.2701464
-20051.0,-17053.0,0.0,2.718507,5.9888906,-4.9523535
-20051.0,-16553.0,0.0,2.9408293,6.4716077,-5.3755345
-20051.0,-16053.0,0.0,3.0946264,6.992171,-5.4622374
-20051.0,-15553.0,0.0,3.2396553,7.4681344,-5.1939683
-20051.0,-15053.0,0.0,3.4480019,7.8164577,-4.622379
-20051.0,-14553.0,0.0,3.776154,7.989476,-3.8553083
-20051.0,-14053.0,0.0,4.245116,7.992248,-3.025831
-20051.0,-13553.0,0.0,4.8409905,7.8722935,-2.2605495
-20051.0,-13053.0,0.0,5.531005,7.6915503,-1.6553987
-20051.0,-12553.0,0.0,6.281444,7.5017843,-1.2632717
-20051.0,-12053.0,0.0,7.0658307,7.3350935,-1.092644
-20051.0,-11553.0,0.0,7.8642926,7.2087226,-1.1151618
-20051.0,-11053.0,0.0,8.661109,7.1313963,-1.278219
-20051.0,-10553.0,0.0,9.444535,7.1054163,-1.5177581
-20051.0,-10053.0,0.0,10.208486,7.1247206,-1.771212
-20051.0,-9553.0,0.0,10.953193,7.173925,-1.9862841
-20051.0,-9053.0,0.0,11.683185,7.2307434,-2.1269286
-20051.0,-8553.0,0.0,12.404044,7.2700143,-2.1749403
-20051.0,-8053.0,0.0,13.119056,7.2686777,-2.1288447
-20051.0,-7553.0,0.0,13.827195,7.2086124,-2.000475
-20051.0,-7053.0,0.0,14.5226345,7.0782437,-1.8109024
-20051.0,-6553.0,0.0,15.195306,6.871929,-1.5860732
-20051.0,-6053.0,0.0,15.832543,6.5888786,-1.3525804
-20051.0,-5553.0,0.0,16.420555,6.2314115,-1.13467
-20051.0,-5053.0,0.0,16.946611,5.803912,-0.95180625
-20051.0,-4553.0,0.0,17.400213,5.312007,-0.81763875
-20051.0,-4053.0,0.0,17.774183,4.7623444,-0.7394176
-20051.0,-3553.0,0.0,18.065134,4.1625605,-0.7186338
-20051.0,-3053.0,0.0,18.273294,3.5211983,-0.7514661
-20051.0,-2553.0,0.0,18.401897,2.8473072,-0.8299633
-20051.0,-2053.0,0.0,18.456203,2.1499267,-0.94335794
-20051.0,-1553.0,0.0,18.44273,1.4376209,-1.079182
-20051.0,-1053.0,0.0,18.36822,0.7180429,-1.2244593
-20051.0,-553.0,0.0,18.238916,-0.0020540913,-1.3673235
