x,y,z,Bx,By,Bz
-20051,-20053,0,1.79707358583668,4.74440847663983,-1.66437891464001
-20051,-19553,0,1.99011807358464,4.93723591518806,-1.69886044387346
-20051,-19053,0,2.19936752607728,5.13501675415727,-1.73261860183084
-20051,-18553,0,2.42596180833897,5.3372861361869,-1.76544665071921
-20051,-18053,0,2.67107653556671,5.54345597366262,-1.79711924406751
-20051,-17553,0,2.93591284956806,5.75279821419817,-1.8273925481221
-20051,-17053,0,3.22168398068603,5.96442717888904,-1.85600482715364
-20051,-16553,0,3.52959807751279,6.17728129911505,-1.88267760130247
-20051,-16053,0,3.86083678009473,6.39010471729051,-1.90711749407763
-20051,-15553,0,4.21652903536356,6.60142938212551,-1.9290188911239
-20051,-15053,0,4.59771971675066,6.80955845664516,-1.94806753033215
-20051,-14553,0,5.00533272576084,7.01255206219177,-1.96394513323957
-20051,-14053,0,5.4401284336383,7.20821659349626,-1.97633516670567
-20051,-13553,0,5.90265557749268,7.39409904314813,-1.98492978923537
-20051,-13053,0,6.39319806512816,7.56748794715501,-1.98943798609924
-20051,-12553,0,6.91171756859362,7.72542267868604,-1.98959483023408
-20051,-12053,0,7.45779329126804,7.86471284259662,-1.9851717218224
-20051,-11553,0,8.03056085864405,7.98196942288414,-1.97598736079334
-20051,-11053,0,8.62865287561071,8.07364907491165,-1.96191909782839
-20051,-10553,0,9.25014426417767,8.13611250635607,-1.94291419852726
-20051,-10053,0,9.89250598133869,8.16569724064077,-1.91900045295341
-20051,-9553,0,10.5525710428923,8.15880421087271,-1.89029548149324
-20051,-9053,0,11.2265168676003,8.11199662374534,-1.85701404233136
-20051,-8553,0,11.9098677373411,8.02210842469666,-1.81947264885257
-20051,-8053,0,12.5975205940345,7.88635858093058,-1.77809086746636
-20051,-7553,0,13.2837964479638,7.70246639191392,-1.7333887925168
-20051,-7053,0,13.9625183847431,7.46876226271157,-1.68598038219799
-20051,-6553,0,14.6271156071319,7.18428794887824,-1.63656257689538
-20051,-6053,0,15.2707512557026,6.84888029095316,-1.58590038979058
-20051,-5553,0,15.8864700719804,6.46323294408437,-1.53480843428246
-20051,-5053,0,16.4673604623813,6.02893156097379,-1.4841296063872
-20051,-4553,0,17.0067243411366,5.54845923517177,-1.43471184741506
-20051,-4053,0,17.4982473894698,5.02517064156162,-1.38738405333165
-20051,-3553,0,17.9361621312792,4.46323507775419,-1.34293226036408
-20051,-3053,0,18.3153965014486,3.86755036497292,-1.30207721983632
-20051,-2553,0,18.6317013319769,3.24363117309978,-1.26545438433632
-20051,-2053,0,18.8817513266798,2.59747668333783,-1.23359717438479
-20051,-1553,0,19.0632155399497,1.93542351756357,-1.20692419461899
-20051,-1053,0,19.1747950134591,1.26399050042275,-1.1857308373497
-20051,-553,0,19.2162269522163,0.589722058697913,-1.17018546463933
